"Province","Rural.Urban","Education.Level.or.Type","Labour.Group","Gender","Indicators","Description","Value","Age"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Male","Education Attainment","Education level by Age Group",1.25,"30-34 years"
"Country-Wide","Urban","Not Available","Unknown","Male","Household Population","Percentage of Total Household Population",6.29,"35-39 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Illiterate Population","Illiterate Population by Age Group",1.24,"35-39 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Literacy Rate","Literacy Rate by Age Group",5.05,"35-39 years"
"Country-Wide","Urban","Non-formal","Unknown","Male","Education Attainment","Education level by Age Group",0.03,"35-39 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Male","Education Attainment","Education level by Age Group",5.02,"35-39 years"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Male","Education Attainment","Education level by Age Group",0.01,"35-39 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male","Education Attainment","Education level by Age Group",0.1,"35-39 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male","Education Attainment","Education level by Age Group",0.87,"35-39 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male","Education Attainment","Education level by Age Group",0.95,"35-39 years"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Male","Education Attainment","Education level by Age Group",1.27,"35-39 years"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Male","Education Attainment","Education level by Age Group",0.71,"35-39 years"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Male","Education Attainment","Education level by Age Group",1.11,"35-39 years"
"Country-Wide","Urban","Not Available","Unknown","Male","Household Population","Percentage of Total Household Population",5.89,"40-44 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Illiterate Population","Illiterate Population by Age Group",1.23,"40-44 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Literacy Rate","Literacy Rate by Age Group",4.66,"40-44 years"
"Country-Wide","Urban","Non-formal","Unknown","Male","Education Attainment","Education level by Age Group",0.02,"40-44 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Male","Education Attainment","Education level by Age Group",4.64,"40-44 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male","Education Attainment","Education level by Age Group",0.1,"40-44 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male","Education Attainment","Education level by Age Group",0.92,"40-44 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male","Education Attainment","Education level by Age Group",0.73,"40-44 years"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Male","Education Attainment","Education level by Age Group",1.14,"40-44 years"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Male","Education Attainment","Education level by Age Group",0.64,"40-44 years"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Male","Education Attainment","Education level by Age Group",1.11,"40-44 years"
"Country-Wide","Urban","Not Available","Unknown","Male","Household Population","Percentage of Total Household Population",5.62,"45-49 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Illiterate Population","Illiterate Population by Age Group",1.51,"45-49 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Literacy Rate","Literacy Rate by Age Group",4.11,"45-49 years"
"Country-Wide","Urban","Non-formal","Unknown","Male","Education Attainment","Education level by Age Group",0.02,"45-49 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Male","Education Attainment","Education level by Age Group",4.09,"45-49 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male","Education Attainment","Education level by Age Group",0.09,"45-49 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male","Education Attainment","Education level by Age Group",0.75,"45-49 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male","Education Attainment","Education level by Age Group",0.74,"45-49 years"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Male","Education Attainment","Education level by Age Group",1.03,"45-49 years"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Male","Education Attainment","Education level by Age Group",0.56,"45-49 years"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Male","Education Attainment","Education level by Age Group",0.92,"45-49 years"
"Country-Wide","Urban","Not Available","Unknown","Male","Household Population","Percentage of Total Household Population",4.04,"50-54 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Illiterate Population","Illiterate Population by Age Group",1.02,"50-54 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Literacy Rate","Literacy Rate by Age Group",3.02,"50-54 years"
"Country-Wide","Urban","Non-formal","Unknown","Male","Education Attainment","Education level by Age Group",0.02,"50-54 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Male","Education Attainment","Education level by Age Group",3,"50-54 years"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Male","Education Attainment","Education level by Age Group",0.01,"50-54 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male","Education Attainment","Education level by Age Group",0.08,"50-54 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male","Education Attainment","Education level by Age Group",0.56,"50-54 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male","Education Attainment","Education level by Age Group",0.53,"50-54 years"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Male","Education Attainment","Education level by Age Group",0.79,"50-54 years"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Male","Education Attainment","Education level by Age Group",0.36,"50-54 years"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Male","Education Attainment","Education level by Age Group",0.67,"50-54 years"
"Country-Wide","Urban","Not Available","Unknown","Male","Household Population","Percentage of Total Household Population",3.23,"55-59 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Illiterate Population","Illiterate Population by Age Group",0.89,"55-59 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Literacy Rate","Literacy Rate by Age Group",2.34,"55-59 years"
"Country-Wide","Urban","Non-formal","Unknown","Male","Education Attainment","Education level by Age Group",0.02,"55-59 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Male","Education Attainment","Education level by Age Group",2.32,"55-59 years"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Male","Education Attainment","Education level by Age Group",0.01,"55-59 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male","Education Attainment","Education level by Age Group",0.06,"55-59 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male","Education Attainment","Education level by Age Group",0.57,"55-59 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male","Education Attainment","Education level by Age Group",0.36,"55-59 years"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Male","Education Attainment","Education level by Age Group",0.64,"55-59 years"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Male","Education Attainment","Education level by Age Group",0.25,"55-59 years"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Male","Education Attainment","Education level by Age Group",0.44,"55-59 years"
"Country-Wide","Urban","Not Available","Unknown","Male","Household Population","Percentage of Total Household Population",2.28,"60-64 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Illiterate Population","Illiterate Population by Age Group",0.68,"60-64 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Literacy Rate","Literacy Rate by Age Group",1.6,"60-64 years"
"Country-Wide","Urban","Non-formal","Unknown","Male","Education Attainment","Education level by Age Group",0.01,"60-64 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Male","Education Attainment","Education level by Age Group",1.59,"60-64 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male","Education Attainment","Education level by Age Group",0.03,"60-64 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male","Education Attainment","Education level by Age Group",0.37,"60-64 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male","Education Attainment","Education level by Age Group",0.25,"60-64 years"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Male","Education Attainment","Education level by Age Group",0.41,"60-64 years"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Male","Education Attainment","Education level by Age Group",0.22,"60-64 years"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Male","Education Attainment","Education level by Age Group",0.32,"60-64 years"
"Country-Wide","Urban","Not Available","Unknown","Male","Household Population","Percentage of Total Household Population",3.51,"65 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Illiterate Population","Illiterate Population by Age Group",1.36,"65 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Literacy Rate","Literacy Rate by Age Group",2.15,"65 years & above"
"Country-Wide","Urban","Non-formal","Unknown","Male","Education Attainment","Education level by Age Group",0.02,"65 years & above"
"Country-Wide","Urban & Rural","Formal","Unknown","Male","Education Attainment","Education level by Age Group",2.14,"65 years & above"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male","Education Attainment","Education level by Age Group",0.08,"65 years & above"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male","Education Attainment","Education level by Age Group",0.48,"65 years & above"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male","Education Attainment","Education level by Age Group",0.32,"65 years & above"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Male","Education Attainment","Education level by Age Group",0.57,"65 years & above"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Male","Education Attainment","Education level by Age Group",0.23,"65 years & above"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Male","Education Attainment","Education level by Age Group",0.45,"65 years & above"
"Country-Wide","Urban","Not Available","Unknown","Female","Household Population","Percentage of Total Household Population",100,"All ages"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Illiterate Population","Illiterate Population by Age Group",44.55,"5 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Literacy Rate","Percentage of Literate Population (5 years & above)",55.45,"5 years & above"
"Country-Wide","Urban","Non-formal","Unknown","Female","Education Attainment","Education level by Age Group",0.29,"All ages"
"Country-Wide","Urban & Rural","Formal","Unknown","Female","Education Attainment","Education level by Age Group",55.16,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Female","Education Attainment","Education level by Age Group",0.85,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Female","Education Attainment","Education level by Age Group",7.18,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Female","Education Attainment","Education level by Age Group",13.68,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Female","Education Attainment","Education level by Age Group",9.69,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Female","Education Attainment","Education level by Age Group",11.28,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Female","Education Attainment","Education level by Age Group",6.41,"5 years & above"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Female","Education Attainment","Education level by Age Group",6.08,"5 years & above"
"Country-Wide","Urban","Not Available","Unknown","Female","Household Population","Percentage of Total Household Population",100,"10 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Illiterate Population","Illiterate Population by Age Group",31.91,"10 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Literacy Rate","Percentage of Literate Population (10 years & above)",68.09,"10 years & above"
"Country-Wide","Urban","Non-formal","Unknown","Female","Education Attainment","Education level by Age Group",0.35,"10 years & above"
"Country-Wide","Urban & Rural","Formal","Unknown","Female","Education Attainment","Education level by Age Group",67.75,"10 years & above"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Female","Education Attainment","Education level by Age Group",0.08,"10 years & above"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Female","Education Attainment","Education level by Age Group",4.97,"10 years & above"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Female","Education Attainment","Education level by Age Group",18.19,"10 years & above"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Female","Education Attainment","Education level by Age Group",12.89,"10 years & above"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Female","Education Attainment","Education level by Age Group",15,"10 years & above"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Female","Education Attainment","Education level by Age Group",8.53,"10 years & above"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Female","Education Attainment","Education level by Age Group",8.09,"10 years & above"
"Country-Wide","Urban","Not Available","Unknown","Female","Household Population","Percentage of Total Household Population",100,"5 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Illiterate Population","Illiterate Population by Age Group",37.02,"5 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Literacy Rate","Percentage of Literate Population (5 years & above)",62.98,"5 years & above"
"Country-Wide","Urban","Non-formal","Unknown","Female","Education Attainment","Education level by Age Group",0.33,"5 years & above"
"Country-Wide","Urban & Rural","Formal","Unknown","Female","Education Attainment","Education level by Age Group",62.65,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Female","Education Attainment","Education level by Age Group",0.96,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Female","Education Attainment","Education level by Age Group",8.15,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Female","Education Attainment","Education level by Age Group",15.53,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Female","Education Attainment","Education level by Age Group",11.01,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Female","Education Attainment","Education level by Age Group",12.81,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Female","Education Attainment","Education level by Age Group",7.28,"5 years & above"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Female","Education Attainment","Education level by Age Group",6.91,"5 years & above"
"Country-Wide","Urban","Not Available","Unknown","Female","Household Population","Percentage of Total Household Population",14.6,"5-9 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Illiterate Population","Illiterate Population by Age Group",9.77,"5-9 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Literacy Rate","Percentage of Literate Population (5 years & above)",4.83,"5-9 years"
"Country-Wide","Urban","Non-formal","Unknown","Female","Education Attainment","Education level by Age Group",0.03,"5-9 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Female","Education Attainment","Education level by Age Group",4.79,"5-9 years"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Female","Education Attainment","Education level by Age Group",0.89,"5-9 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Female","Education Attainment","Education level by Age Group",3.9,"5-9 years"
"Country-Wide","Urban","Not Available","Unknown","Female","Household Population","Percentage of Total Household Population",13.56,"10-14 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Illiterate Population","Illiterate Population by Age Group",2.2,"10-14 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Literacy Rate","Literacy Rate by Age Group",11.36,"10-14 years"
"Country-Wide","Urban","Non-formal","Unknown","Female","Education Attainment","Education level by Age Group",0.03,"10-14 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Female","Education Attainment","Education level by Age Group",11.33,"10-14 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Female","Education Attainment","Education level by Age Group",3.62,"10-14 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Female","Education Attainment","Education level by Age Group",6.56,"10-14 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Female","Education Attainment","Education level by Age Group",1.14,"10-14 years"
"Country-Wide","Urban","Not Available","Unknown","Female","Household Population","Percentage of Total Household Population",13.21,"15-19 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Illiterate Population","Illiterate Population by Age Group",2.04,"15-19 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Literacy Rate","Literacy Rate by Age Group",11.17,"15-19 years"
"Country-Wide","Urban","Non-formal","Unknown","Female","Education Attainment","Education level by Age Group",0.01,"15-19 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Female","Education Attainment","Education level by Age Group",11.16,"15-19 years"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Female","Education Attainment","Education level by Age Group",0.01,"15-19 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Female","Education Attainment","Education level by Age Group",0.09,"15-19 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Female","Education Attainment","Education level by Age Group",1.92,"15-19 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Female","Education Attainment","Education level by Age Group",4.11,"15-19 years"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Female","Education Attainment","Education level by Age Group",3.74,"15-19 years"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Female","Education Attainment","Education level by Age Group",1.28,"15-19 years"
"Country-Wide","Urban","Not Available","Unknown","Female","Household Population","Percentage of Total Household Population",11.82,"20-24 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Illiterate Population","Illiterate Population by Age Group",2.65,"20-24 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Literacy Rate","Literacy Rate by Age Group",9.16,"20-24 years"
"Country-Wide","Urban","Non-formal","Unknown","Female","Education Attainment","Education level by Age Group",0.02,"20-24 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Female","Education Attainment","Education level by Age Group",9.14,"20-24 years"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Female","Education Attainment","Education level by Age Group",0.01,"20-24 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Female","Education Attainment","Education level by Age Group",0.08,"20-24 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Female","Education Attainment","Education level by Age Group",1.33,"20-24 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Female","Education Attainment","Education level by Age Group",1.21,"20-24 years"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Female","Education Attainment","Education level by Age Group",2.27,"20-24 years"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Female","Education Attainment","Education level by Age Group",2.37,"20-24 years"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Female","Education Attainment","Education level by Age Group",1.86,"20-24 years"
"Country-Wide","Urban","Not Available","Unknown","Female","Household Population","Percentage of Total Household Population",9.61,"25-29 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Illiterate Population","Illiterate Population by Age Group",2.56,"25-29 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Literacy Rate","Literacy Rate by Age Group",7.05,"25-29 years"
"Country-Wide","Urban","Non-formal","Unknown","Female","Education Attainment","Education level by Age Group",0.03,"25-29 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Female","Education Attainment","Education level by Age Group",7.02,"25-29 years"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Female","Education Attainment","Education level by Age Group",0.01,"25-29 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Female","Education Attainment","Education level by Age Group",0.08,"25-29 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Female","Education Attainment","Education level by Age Group",1.21,"25-29 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Female","Education Attainment","Education level by Age Group",1.1,"25-29 years"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Female","Education Attainment","Education level by Age Group",1.81,"25-29 years"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Female","Education Attainment","Education level by Age Group",1.1,"25-29 years"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Female","Education Attainment","Education level by Age Group",1.72,"25-29 years"
"Country-Wide","Urban","Not Available","Unknown","Female","Household Population","Percentage of Total Household Population",7.98,"30-34 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Illiterate Population","Illiterate Population by Age Group",2.57,"30-34 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Literacy Rate","Literacy Rate by Age Group",5.4,"30-34 years"
"Country-Wide","Urban","Non-formal","Unknown","Female","Education Attainment","Education level by Age Group",0.04,"30-34 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Female","Education Attainment","Education level by Age Group",5.36,"30-34 years"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Female","Education Attainment","Education level by Age Group",0.02,"30-34 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Female","Education Attainment","Education level by Age Group",0.07,"30-34 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Female","Education Attainment","Education level by Age Group",0.98,"30-34 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Female","Education Attainment","Education level by Age Group",0.89,"30-34 years"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Female","Education Attainment","Education level by Age Group",1.44,"30-34 years"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Female","Education Attainment","Education level by Age Group",0.9,"30-34 years"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Female","Education Attainment","Education level by Age Group",1.07,"30-34 years"
"Country-Wide","Urban","Not Available","Unknown","Female","Household Population","Percentage of Total Household Population",6.84,"35-39 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Illiterate Population","Illiterate Population by Age Group",2.74,"35-39 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Literacy Rate","Literacy Rate by Age Group",4.1,"35-39 years"
"Country-Wide","Urban","Non-formal","Unknown","Female","Education Attainment","Education level by Age Group",0.04,"35-39 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Female","Education Attainment","Education level by Age Group",4.06,"35-39 years"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Female","Education Attainment","Education level by Age Group",0.01,"35-39 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Female","Education Attainment","Education level by Age Group",0.08,"35-39 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Female","Education Attainment","Education level by Age Group",0.84,"35-39 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Female","Education Attainment","Education level by Age Group",0.73,"35-39 years"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Female","Education Attainment","Education level by Age Group",1,"35-39 years"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Female","Education Attainment","Education level by Age Group",0.63,"35-39 years"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Female","Education Attainment","Education level by Age Group",0.77,"35-39 years"
"Country-Wide","Urban","Not Available","Unknown","Female","Household Population","Percentage of Total Household Population",5.92,"40-44 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Illiterate Population","Illiterate Population by Age Group",2.68,"40-44 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Literacy Rate","Literacy Rate by Age Group",3.24,"40-44 years"
"Country-Wide","Urban","Non-formal","Unknown","Female","Education Attainment","Education level by Age Group",0.03,"40-44 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Female","Education Attainment","Education level by Age Group",3.21,"40-44 years"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Female","Education Attainment","Education level by Age Group",0.01,"40-44 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Female","Education Attainment","Education level by Age Group",0.05,"40-44 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Female","Education Attainment","Education level by Age Group",0.85,"40-44 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Female","Education Attainment","Education level by Age Group",0.53,"40-44 years"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Female","Education Attainment","Education level by Age Group",0.86,"40-44 years"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Female","Education Attainment","Education level by Age Group",0.39,"40-44 years"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Female","Education Attainment","Education level by Age Group",0.52,"40-44 years"
"Country-Wide","Urban","Not Available","Unknown","Female","Household Population","Percentage of Total Household Population",5.21,"45-49 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Illiterate Population","Illiterate Population by Age Group",2.68,"45-49 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Literacy Rate","Literacy Rate by Age Group",2.53,"45-49 years"
"Country-Wide","Urban","Non-formal","Unknown","Female","Education Attainment","Education level by Age Group",0.03,"45-49 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Female","Education Attainment","Education level by Age Group",2.5,"45-49 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Female","Education Attainment","Education level by Age Group",0.06,"45-49 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Female","Education Attainment","Education level by Age Group",0.71,"45-49 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Female","Education Attainment","Education level by Age Group",0.42,"45-49 years"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Female","Education Attainment","Education level by Age Group",0.68,"45-49 years"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Female","Education Attainment","Education level by Age Group",0.27,"45-49 years"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Female","Education Attainment","Education level by Age Group",0.35,"45-49 years"
"Country-Wide","Urban","Not Available","Unknown","Female","Household Population","Percentage of Total Household Population",3.66,"50-54 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Illiterate Population","Illiterate Population by Age Group",2.01,"50-54 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Literacy Rate","Literacy Rate by Age Group",1.65,"50-54 years"
"Country-Wide","Urban","Non-formal","Unknown","Female","Education Attainment","Education level by Age Group",0.02,"50-54 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Female","Education Attainment","Education level by Age Group",1.63,"50-54 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Female","Education Attainment","Education level by Age Group",0.02,"50-54 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Female","Education Attainment","Education level by Age Group",0.4,"50-54 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Female","Education Attainment","Education level by Age Group",0.35,"50-54 years"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Female","Education Attainment","Education level by Age Group",0.45,"50-54 years"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Female","Education Attainment","Education level by Age Group",0.18,"50-54 years"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Female","Education Attainment","Education level by Age Group",0.23,"50-54 years"
"Country-Wide","Urban","Not Available","Unknown","Female","Household Population","Percentage of Total Household Population",2.73,"55-59 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Illiterate Population","Illiterate Population by Age Group",1.63,"55-59 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Female","Literacy Rate","Literacy Rate by Age Group",1.1,"55-59 years"
"Country-Wide","Urban","Non-formal","Unknown","Female","Education Attainment","Education level by Age Group",0.01,"55-59 years"
